CO,Ozone,NO2,SO2,PM2.5,PM10,AQI
0.49,11.1,8.1,9.4,6,13,25
0.44,13.2,8,8.4,6,13,22
0.53,8,8.1,10,6,13,27
0.45,9.8,8.1,8.5,5,12,23
0.36,11,8,6.9,6,13,20
0.49,10.5,8.2,9.4,8,17,25
0.47,13.5,8,8.9,6,15,24
0.44,13.5,8,8.4,8,23,23
,,,,,,
,,,,,,
,,,,,,
0.55,14,8,10.5,5,11,28
0.45,12.3,7.9,8.5,7,20,23
0.46,13.1,7.9,8.8,7,16,23
0.46,13.6,8.1,8.7,8,19,23
0.45,14.3,8,8.5,7,14,23
0.55,14.5,7.7,10.9,7,14,28
0.37,12.9,8.2,7.1,-,-,
0.42,11.4,8.1,8,8,27,27
0.36,11.6,8.2,6.9,11,25,25
0.37,11.7,8,7,8,19,20
0.37,12.8,7.8,7.1,7,22,22
0.48,13.9,8.1,9.1,8,18,24
0.31,7.7,8.1,5.9,6,14,20
0.32,11,7.9,6.2,6,16,20
0.45,11,7.8,8.6,5,11,23
0.43,14.6,7.9,8.1,8,19,22
0.4,10.5,16.7,9.1,7,14,20
0.17,12.4,50.3,8.1,5,13,20
0.17,10.8,46,6.5,5,16,23
0.19,14.1,27.6,6.7,10,32,35
